long,lat,topography,cart_x,cart_y,cart_z
359.5083,-10.1054,-5352.0,6271.933470674833,-53.82569925541698,-1117.8525544670013
359.525,-10.1054,-5342.0,6271.948892835096,-51.99761663978944,-1117.8525544670013
359.5417,-10.1054,-5330.0,6271.963782163497,-50.169529606717305,-1117.8525544670013
359.5583,-10.1054,-5326.0,6271.978054277494,-48.35238497834359,-1117.8525544670013
359.575,-10.1054,-5340.0,6271.9918811290545,-46.5242896004207,-1117.8525544670013
359.5916,-10.1054,-5376.0,6272.005097125982,-44.70713698406982,-1117.8525544670013
359.6083,-10.1054,-5424.0,6272.017861496029,-42.879033878820096,-1117.8525544670013
359.625,-10.1054,-5474.0,6272.030093028357,-41.05092713078157,-1117.8525544670013
359.6416,-10.1054,-5516.0,6272.041723255645,-39.233763673225084,-1117.8525544670013
359.6583,-10.1054,-5534.0,6272.052892300122,-37.40565012504144,-1117.8525544670013
359.675,-10.1054,-5536.0,6272.063528503903,-35.577533399075655,-1117.8525544670013
359.6917,-10.1054,-5532.0,6272.0736318660865,-33.74941365062379,-1117.8525544670013
359.7083,-10.1054,-5532.0,6272.083146663096,-31.9322378852386,-1117.8525544670013
359.725,-10.1054,-5546.0,6272.092187530231,-30.104112573524837,-1117.8525544670013
359.7416,-10.1054,-5564.0,6272.100646192876,-28.286931585100284,-1117.8525544670013
359.7583,-10.1054,-5586.0,6272.108624561911,-26.458801327647517,-1117.8525544670013
359.775,-10.1054,-5600.0,6272.116070085514,-24.630668822393865,-1117.8525544670013
359.7917,-10.1054,-5596.0,6272.122982763056,-22.802534224642283,-1117.8525544670013
359.8083,-10.1054,-5576.0,6272.129325977165,-20.985344620528238,-1117.8525544670013
359.825,-10.1054,-5544.0,6272.135176151567,-19.157206313931553,-1117.8525544670013
359.8416,-10.1054,-5510.0,6272.1404632238045,-17.340013330081792,-1117.8525544670013
359.8583,-10.1054,-5476.0,6272.145250893091,-15.511871932156147,-1117.8525544670013
359.875,-10.1054,-5456.0,6272.149505713837,-13.683729216417703,-1117.8525544670013
359.8916,-10.1054,-5452.0,6272.153206984227,-11.866532310674508,-1117.8525544670013
359.9083,-10.1054,-5460.0,6272.156399297564,-10.038387430818792,-1117.8525544670013
359.925,-10.1054,-5486.0,6272.159058761413,-8.210241698154364,-1117.8525544670013
359.9417,-10.1054,-5514.0,6272.161185375547,-6.382095267990896,-1117.8525544670013
359.9583,-10.1054,-5548.0,6272.162771182093,-4.564895284812728,-1117.8525544670013
359.975,-10.1054,-5574.0,6272.1638352870195,-2.736747927434822,-1117.8525544670013
359.9916,-10.1054,-5590.0,6272.164364946466,-0.9195473295023171,-1117.8525544670013
359.5083,-10.1218,-5394.0,6271.613258126922,-53.822951193055935,-1119.6478153470773
359.525,-10.1218,-5376.0,6271.628679499808,-51.99496190989038,-1119.6478153470773
359.5417,-10.1218,-5360.0,6271.643568068037,-50.16696820950574,-1119.6478153470773
359.5583,-10.1218,-5350.0,6271.657839453374,-48.349916355156836,-1119.6478153470773
359.575,-10.1218,-5356.0,6271.671665599007,-46.52191431034749,-1119.6478153470773
359.5916,-10.1218,-5384.0,6271.684880921193,-44.70485446842923,-1119.6478153470773
359.6083,-10.1218,-5426.0,6271.697644639557,-42.876844696687584,-1119.6478153470773
359.625,-10.1218,-5474.0,6271.709875547407,-41.0488312823431,-1119.6478153470773
359.6416,-10.1218,-5512.0,6271.721505180915,-39.23176059977274,-1119.6478153470773
359.6583,-10.1218,-5530.0,6271.732673655159,-37.40374038563033,-1119.6478153470773
359.675,-10.1218,-5532.0,6271.743309315911,-35.575716993868014,-1119.6478153470773
359.6917,-10.1218,-5524.0,6271.7534121622675,-33.74769057977393,-1119.6478153470773
359.7083,-10.1218,-5522.0,6271.762926473501,-31.930607590003238,-1119.6478153470773
359.725,-10.1218,-5532.0,6271.771966879056,-30.10257561293129,-1119.6478153470773
